es_caro,superficie,dormitorios,banios,pisos,via_principal,habitacion_invitados,sotano,calefaccion_agua,aire_acondicionado,estacionamientos,zona_preferencial,estado_amueblado
caro,6000,4,2,4,si,no,no,no,si,1,no,semi_amueblado
caro,6550,3,1,2,si,no,si,no,si,0,si,amueblada
caro,6360,3,2,4,si,no,no,no,si,0,si,amueblada
caro,6480,3,2,4,si,no,no,no,si,2,no,sin_amoblar
caro,6000,4,2,4,si,no,no,no,no,2,no,semi_amueblado
caro,6000,4,2,4,si,no,no,no,si,1,no,amueblada
caro,6000,3,2,3,si,no,no,no,si,0,no,semi_amueblado
caro,6000,3,2,4,si,no,no,no,si,1,no,amueblada
caro,6600,3,1,4,si,no,no,no,si,3,si,amueblada
caro,4300,3,2,2,si,no,si,no,no,1,no,sin_amoblar
caro,7440,3,2,1,si,si,si,no,si,0,si,semi_amueblado
caro,7440,3,2,4,si,no,no,no,no,1,si,sin_amoblar
caro,6325,3,1,4,si,no,no,no,si,1,no,sin_amoblar
caro,6000,4,2,4,si,si,no,no,si,1,no,amueblada
caro,5150,3,2,4,si,no,no,no,si,2,no,semi_amueblado
caro,6000,3,2,2,si,si,no,no,si,1,no,semi_amueblado
caro,6000,3,1,2,si,no,no,no,si,1,no,sin_amoblar
caro,11440,4,1,2,si,no,si,no,no,1,si,semi_amueblado
caro,9000,4,2,4,si,si,no,no,si,1,si,amueblada
caro,7680,4,2,4,si,si,no,no,si,1,no,semi_amueblado
caro,6000,3,2,4,si,si,no,no,si,1,no,amueblada
caro,6000,3,2,2,si,si,no,no,no,1,no,semi_amueblado
caro,8880,2,1,1,si,no,no,no,si,1,no,semi_amueblado
caro,6240,4,2,2,si,no,no,no,si,1,no,amueblada
caro,6360,4,2,3,si,no,no,no,si,2,si,amueblada
caro,11175,3,1,1,si,no,si,no,si,1,si,amueblada
caro,8880,3,2,2,si,no,si,no,si,1,no,amueblada
caro,13200,2,1,1,si,no,si,si,no,1,no,amueblada
caro,7700,3,2,1,si,no,no,no,no,2,no,sin_amoblar
caro,6000,3,1,1,si,no,no,no,si,1,no,amueblada
caro,12090,4,2,2,si,no,no,no,no,2,si,amueblada
caro,4000,3,2,2,si,no,si,no,si,0,si,semi_amueblado
caro,6000,4,2,4,si,no,no,no,si,0,no,sin_amoblar
caro,5020,3,1,4,si,no,no,no,si,0,si,sin_amoblar
caro,6600,2,2,4,si,no,si,no,no,0,si,amueblada
caro,4040,3,1,2,si,no,si,si,no,1,no,amueblada
caro,4260,4,2,2,si,no,no,si,no,0,no,semi_amueblado
caro,6420,3,2,3,si,no,no,no,si,0,si,amueblada
caro,6500,3,2,3,si,no,no,no,si,0,si,amueblada
caro,5700,3,1,1,si,si,si,no,si,2,si,amueblada
caro,6000,3,2,3,si,si,no,no,si,0,no,amueblada
caro,6000,3,1,2,si,no,no,si,no,1,si,semi_amueblado
caro,4000,3,2,2,si,no,si,no,si,1,no,semi_amueblado
caro,10500,3,2,1,si,no,si,no,si,1,si,amueblada
caro,6000,3,2,4,si,no,no,no,,0,no,semi_amueblado
caro,3760,3,1,2,si,no,no,si,no,2,no,semi_amueblado
caro,8250,3,2,3,si,no,no,no,si,0,no,amueblada
caro,6670,3,1,3,si,no,si,no,no,0,si,sin_amoblar
caro,3960,3,1,1,si,no,si,no,no,2,no,semi_amueblado
caro,7410,3,1,1,si,si,si,no,si,2,si,sin_amoblar
caro,8580,5,3,2,si,no,no,no,no,2,no,amueblada
caro,5000,3,1,2,si,no,no,no,si,0,no,semi_amueblado
caro,6750,2,1,1,si,si,si,no,no,2,si,amueblada
caro,4800,3,2,4,si,si,no,no,si,0,no,amueblada
caro,7200,3,2,1,si,no,si,no,si,3,no,semi_amueblado
caro,6000,4,2,4,si,no,no,no,no,1,no,semi_amueblado
caro,4100,3,2,3,si,no,no,no,si,2,no,semi_amueblado
caro,9000,3,1,1,si,no,si,no,no,1,si,amueblada
caro,6400,3,1,1,si,si,si,no,si,1,si,semi_amueblado
caro,6600,3,2,3,si,no,no,no,si,0,si,sin_amoblar
caro,6000,4,1,3,si,si,si,no,no,0,si,sin_amoblar
caro,6600,3,2,1,si,no,si,no,si,0,si,sin_amoblar
caro,5500,3,1,3,si,no,no,no,no,1,si,sin_amoblar
caro,5500,3,2,4,si,si,no,no,si,1,no,semi_amueblado
caro,6350,3,2,3,si,si,no,no,si,0,no,amueblada
caro,5500,3,2,1,si,si,si,no,no,2,si,amueblada
caro,4500,3,1,4,si,no,no,no,si,0,no,sin_amoblar
caro,5450,4,2,1,si,no,si,no,si,0,si,semi_amueblado
caro,6420,3,1,3,si,no,si,no,no,0,si,sin_amoblar
caro,3240,4,1,3,si,no,no,no,no,1,no,semi_amueblado
caro,6615,4,2,2,si,si,no,si,no,1,no,semi_amueblado
caro,6600,3,1,1,si,si,si,no,no,2,si,semi_amueblado
caro,8372,3,1,3,si,no,no,no,si,2,no,sin_amoblar
caro,4300,6,2,2,si,no,no,no,no,0,no,amueblada
caro,9620,3,1,1,si,no,si,no,no,2,si,amueblada
caro,6800,2,1,1,si,si,si,no,no,2,no,amueblada
caro,8000,3,1,1,si,si,si,no,si,2,si,semi_amueblado
caro,6900,3,2,1,si,si,si,no,no,0,si,sin_amoblar
caro,3700,4,1,2,si,si,no,no,si,0,no,amueblada
caro,6420,3,1,1,si,no,si,no,si,0,si,amueblada
caro,7020,3,1,1,si,no,si,no,si,2,si,semi_amueblado
caro,6540,3,1,1,si,si,si,no,no,2,si,amueblada
caro,7231,3,1,2,si,si,si,no,si,0,si,semi_amueblado
caro,6254,4,2,1,si,no,si,no,no,1,si,semi_amueblado
caro,7320,4,2,2,si,no,no,no,no,0,no,amueblada
caro,6525,3,2,4,si,no,no,no,no,1,no,amueblada
caro,15600,3,1,1,si,no,no,no,si,2,no,semi_amueblado
caro,7160,3,1,1,si,no,si,no,no,2,si,sin_amoblar
caro,6500,3,2,3,si,no,no,no,si,0,no,sin_amoblar
caro,5500,3,1,3,si,si,no,no,si,1,no,amueblada
caro,11460,3,1,3,si,no,no,no,no,2,si,semi_amueblado
caro,4800,3,1,1,si,si,si,no,no,0,no,sin_amoblar
caro,5828,4,1,4,si,si,no,no,no,0,no,semi_amueblado
caro,5200,3,1,3,si,no,no,no,si,0,no,semi_amueblado
caro,4800,3,1,3,si,no,no,no,si,0,no,sin_amoblar
caro,7000,3,1,1,si,no,si,,no,2,si,semi_amueblado
caro,6000,3,2,4,si,no,no,no,si,0,no,sin_amoblar
caro,5400,4,2,2,si,no,no,no,si,2,no,sin_amoblar
caro,4640,4,1,2,si,no,no,no,no,1,no,semi_amueblado
caro,5000,3,1,3,si,no,no,no,si,0,no,semi_amueblado
caro,6360,3,1,1,si,si,si,no,si,2,si,amueblada
caro,5800,3,2,4,si,no,no,no,si,0,no,sin_amoblar
caro,6660,4,2,2,si,si,si,no,no,1,si,semi_amueblado
caro,10500,4,2,2,si,no,no,no,no,1,no,semi_amueblado
caro,4800,5,2,3,no,no,si,si,no,0,no,sin_amoblar
caro,4700,4,1,2,si,si,si,no,si,1,no,amueblada
caro,5000,3,1,4,si,no,no,no,no,0,no,amueblada
caro,10500,2,1,1,si,no,no,no,no,1,no,semi_amueblado
caro,5500,3,2,2,si,no,no,no,no,1,no,semi_amueblado
caro,6360,3,1,3,si,no,no,no,no,0,si,semi_amueblado
caro,6600,4,2,1,si,no,si,no,no,0,si,semi_amueblado
caro,5136,3,1,2,si,si,si,no,si,0,si,sin_amoblar
caro,4400,4,1,2,si,no,no,no,si,2,si,semi_amueblado
caro,5400,5,1,2,si,si,si,no,si,0,si,amueblada
caro,3300,3,3,2,si,no,si,no,no,0,no,semi_amueblado
caro,3650,3,2,2,si,no,no,no,no,2,no,semi_amueblado
caro,6100,3,2,1,si,no,si,no,no,2,si,amueblada
caro,6900,3,1,1,si,si,si,no,no,0,si,semi_amueblado
caro,2817,4,2,2,no,si,si,no,no,1,no,amueblada
caro,7980,3,1,1,si,no,no,no,no,2,no,semi_amueblado
caro,3150,3,2,1,si,si,si,no,si,0,no,amueblada
caro,6210,4,1,4,si,si,no,no,si,0,no,amueblada
caro,6100,3,1,3,si,si,no,no,si,0,si,semi_amueblado
caro,6600,4,2,2,si,si,si,no,no,0,si,semi_amueblado
caro,6825,3,1,1,si,si,si,no,si,0,si,semi_amueblado
caro,6710,3,2,2,si,si,si,no,no,1,si,amueblada
caro,6450,3,2,1,si,si,si,si,no,0,no,sin_amoblar
caro,7800,3,1,1,si,no,si,no,si,2,si,sin_amoblar
caro,4600,2,2,1,si,no,no,no,si,2,no,semi_amueblado
caro,4260,4,1,2,si,no,si,no,si,0,no,amueblada
caro,6540,4,2,2,no,no,no,no,si,0,no,semi_amueblado
caro,5500,3,2,1,si,no,si,no,no,0,no,semi_amueblado
caro,10269,3,1,1,si,no,no,no,no,1,si,semi_amueblado
caro,8400,3,1,2,si,si,si,no,si,2,si,sin_amoblar
caro,5300,4,2,1,si,no,no,no,si,0,si,sin_amoblar
caro,3800,3,1,2,si,si,si,no,no,1,si,sin_amoblar
caro,9800,4,2,2,si,si,no,no,no,2,no,semi_amueblado
caro,8520,3,1,1,si,no,no,no,si,2,no,amueblada
caro,6050,3,1,1,si,no,si,no,no,0,si,semi_amueblado
caro,7085,3,1,1,si,si,si,no,no,2,si,semi_amueblado
caro,3180,3,2,2,si,no,no,no,no,2,no,semi_amueblado
caro,4500,4,2,1,no,no,si,no,si,2,no,semi_amueblado
caro,7200,3,1,2,si,si,si,no,no,1,si,amueblada
caro,3410,3,1,2,no,no,no,no,si,0,no,semi_amueblado
caro,7980,3,1,1,si,no,no,no,no,1,si,semi_amueblado
caro,3000,3,2,2,si,si,si,no,no,0,no,amueblada
caro,3000,3,1,2,si,no,si,no,,0,no,sin_amoblar
caro,11410,2,1,2,si,no,no,no,no,0,si,amueblada
caro,6100,3,1,1,si,no,si,no,si,0,si,semi_amueblado
caro,5720,2,1,2,si,no,no,no,si,0,si,sin_amoblar
caro,3540,2,1,1,no,si,si,no,no,0,no,semi_amueblado
caro,7600,4,1,2,si,no,no,no,si,2,no,amueblada
caro,10700,3,1,2,si,si,si,no,no,0,no,semi_amueblado
caro,6600,3,1,1,si,si,si,no,no,0,si,amueblada
caro,4800,2,1,1,si,si,si,no,no,0,no,semi_amueblado
caro,8150,3,2,1,si,si,si,no,no,0,no,semi_amueblado
caro,4410,4,3,2,si,no,si,no,no,2,no,semi_amueblado
caro,7686,3,1,1,si,si,si,si,no,0,no,semi_amueblado
caro,2800,3,2,2,no,no,si,no,si,1,no,semi_amueblado
caro,5948,3,1,2,si,no,no,no,si,0,no,semi_amueblado
caro,4200,3,1,2,si,no,no,no,no,1,no,amueblada
caro,4520,3,1,2,si,no,si,no,si,0,no,semi_amueblado
caro,4095,3,1,2,no,si,si,no,si,0,no,semi_amueblado
caro,4120,2,1,1,si,no,si,no,no,1,no,semi_amueblado
caro,5400,4,1,2,si,no,no,no,no,,no,semi_amueblado
caro,4770,3,1,1,si,si,si,no,no,0,no,semi_amueblado
caro,6300,3,1,1,si,no,no,no,si,2,no,semi_amueblado
caro,5800,2,1,1,si,si,si,no,si,0,no,semi_amueblado
caro,3000,3,1,2,si,no,si,no,si,0,no,semi_amueblado
caro,2970,3,1,3,si,no,no,no,no,0,no,semi_amueblado
caro,6720,3,1,1,si,no,no,no,no,0,no,sin_amoblar
caro,4646,3,1,2,si,si,si,no,no,2,no,semi_amueblado
caro,12900,3,1,1,si,no,no,no,no,2,no,amueblada
caro,3420,4,2,2,si,no,si,no,si,2,no,semi_amueblado
caro,4995,4,2,1,si,no,si,no,no,0,no,semi_amueblado
caro,4350,2,1,1,si,no,si,no,no,0,no,sin_amoblar
caro,4160,3,1,3,si,no,no,no,no,0,no,sin_amoblar
caro,6040,3,1,1,si,no,no,no,no,2,si,semi_amueblado
caro,6862,3,1,2,si,no,no,no,si,2,si,amueblada
caro,4815,2,1,1,si,no,no,no,si,0,si,semi_amueblado
caro,7000,3,1,2,si,no,si,no,no,0,no,sin_amoblar
caro,8100,4,1,4,si,no,si,no,si,2,no,semi_amueblado
caro,3420,4,2,2,si,no,no,no,no,0,no,semi_amueblado
caro,9166,2,1,1,si,no,si,no,si,2,no,semi_amueblado
caro,6321,3,1,2,si,no,si,no,si,1,no,amueblada
caro,10240,2,1,1,si,no,no,no,si,2,si,sin_amoblar
caro,6440,2,1,1,si,no,no,no,si,3,no,semi_amueblado
caro,5170,3,1,4,si,no,no,no,si,0,no,semi_amueblado
caro,6000,2,1,1,si,no,si,no,si,1,no,amueblada
caro,3630,3,1,2,si,no,no,no,no,2,no,semi_amueblado
caro,9667,4,2,2,si,si,si,no,no,1,no,semi_amueblado
caro,5400,2,1,2,si,no,no,no,no,0,si,semi_amueblado
caro,4320,3,1,1,si,no,no,no,no,0,si,semi_amueblado
caro,3745,3,1,2,si,no,si,no,no,0,no,amueblada
caro,4160,3,1,1,si,si,si,no,si,0,no,sin_amoblar
caro,3880,3,2,2,si,no,si,no,no,2,no,semi_amueblado
caro,5680,3,1,2,si,si,no,no,si,1,no,semi_amueblado
caro,2870,2,1,2,si,si,si,no,no,0,si,semi_amueblado
caro,5010,3,1,2,si,no,si,no,no,0,no,semi_amueblado
caro,4510,4,2,2,si,no,si,no,no,0,no,semi_amueblado
caro,4000,3,1,2,si,no,no,no,no,1,no,amueblada
caro,3840,3,1,2,si,no,no,no,no,1,si,semi_amueblado
caro,3760,3,1,1,si,no,no,no,no,2,no,semi_amueblado
caro,3640,3,1,2,si,no,no,no,si,0,no,amueblada
caro,2550,3,1,2,si,no,si,no,no,0,no,amueblada
caro,5320,3,1,2,si,si,si,no,no,0,si,semi_amueblado
caro,5360,3,1,2,si,no,no,no,no,2,si,sin_amoblar
caro,3520,3,1,1,si,no,no,no,no,0,si,semi_amueblado
caro,8400,4,1,4,si,no,no,no,no,3,no,sin_amoblar
caro,4100,2,2,1,si,si,si,no,no,0,no,semi_amueblado
caro,4990,4,2,2,si,si,si,no,no,0,si,amueblada
caro,3510,3,1,3,si,no,no,no,no,0,no,semi_amueblado
caro,3450,3,1,2,si,no,si,no,no,1,no,semi_amueblado
caro,9860,3,1,1,si,no,no,no,no,0,no,semi_amueblado
caro,3520,2,1,2,si,no,no,no,no,0,si,amueblada
caro,4510,4,1,2,si,no,no,no,si,2,no,semi_amueblado
caro,5885,2,1,1,si,no,no,no,si,1,no,sin_amoblar
caro,4000,3,1,2,si,no,no,no,no,2,no,amueblada
caro,8250,3,1,1,si,no,no,no,no,0,no,amueblada
caro,4040,3,1,2,si,no,no,no,no,1,no,semi_amueblado
caro,6360,2,1,1,si,no,si,no,si,1,no,amueblada
caro,3162,3,1,2,si,no,no,no,si,1,no,amueblada
caro,3510,3,1,2,si,no,no,no,no,0,no,semi_amueblado
caro,3750,2,1,1,si,si,si,no,no,0,no,semi_amueblado
caro,3968,3,1,2,no,no,no,no,no,0,no,semi_amueblado
caro,4900,2,1,2,si,no,si,no,no,0,no,semi_amueblado
caro,2880,3,1,2,si,no,no,no,no,0,si,semi_amueblado
caro,4880,3,1,1,si,no,no,no,no,2,si,sin_amoblar
caro,4920,3,1,2,si,no,no,no,no,1,no,semi_amueblado
caro,4950,4,1,2,si,no,no,no,si,0,no,semi_amueblado
caro,3900,3,1,2,si,no,no,no,no,0,no,sin_amoblar
barato,4500,3,2,3,si,no,no,si,no,1,no,amueblada
barato,1905,5,1,2,no,no,si,no,no,0,no,semi_amueblado
barato,4075,3,1,1,si,si,si,no,no,,no,semi_amueblado
barato,3500,4,1,2,si,no,no,no,no,2,no,amueblada
barato,6450,4,1,2,si,no,no,no,no,0,no,semi_amueblado
barato,4032,2,1,1,si,no,si,no,no,0,no,amueblada
barato,4400,2,1,1,si,no,no,no,no,1,no,semi_amueblado
barato,10360,2,1,1,si,no,no,no,no,1,si,semi_amueblado
barato,3400,3,1,2,si,no,si,no,no,2,si,semi_amueblado
barato,6360,2,1,1,si,no,no,no,no,0,no,amueblada
barato,6360,2,1,2,si,no,no,no,no,0,no,sin_amoblar
barato,4500,2,1,1,si,no,no,no,si,2,no,amueblada
barato,2175,3,1,2,no,si,si,no,si,0,no,sin_amoblar
barato,4360,4,1,2,si,no,no,no,no,0,no,amueblada
barato,7770,2,1,1,si,no,no,no,no,1,no,amueblada
barato,6650,3,1,2,si,si,no,no,no,0,no,semi_amueblado
barato,2787,3,1,1,si,no,si,no,no,0,si,amueblada
barato,5500,3,1,2,si,no,no,no,si,0,no,sin_amoblar
barato,5040,3,1,2,si,no,si,no,si,0,no,sin_amoblar
barato,5850,2,1,1,si,si,si,no,no,2,no,semi_amueblado
barato,2610,4,3,2,no,no,no,no,no,0,no,semi_amueblado
barato,2953,3,1,2,si,no,si,no,si,0,no,sin_amoblar
barato,2747,4,2,2,no,no,no,no,no,0,no,semi_amueblado
barato,4410,2,1,1,no,no,no,no,no,1,no,sin_amoblar
barato,4000,4,2,2,no,no,no,no,no,0,no,semi_amueblado
barato,2325,3,1,2,no,no,no,no,no,0,no,semi_amueblado
barato,4600,3,2,2,si,no,no,no,si,1,no,semi_amueblado
barato,3640,3,2,2,si,no,si,no,no,0,no,sin_amoblar
barato,5800,3,1,1,si,no,no,si,no,2,no,semi_amueblado
barato,7000,3,1,1,si,no,no,no,no,3,no,amueblada
barato,4079,3,1,3,si,no,no,no,no,0,no,semi_amueblado
barato,3520,3,1,2,si,no,no,no,no,0,si,semi_amueblado
barato,2145,3,1,3,si,no,no,no,no,1,si,sin_amoblar
barato,4500,3,1,1,si,no,si,no,no,0,no,amueblada
barato,8250,3,1,1,si,no,si,no,no,3,no,semi_amueblado
barato,3450,3,1,2,si,no,no,no,no,1,no,semi_amueblado
barato,4840,3,1,2,si,no,no,no,no,1,no,semi_amueblado
barato,4080,3,1,2,si,no,no,no,no,2,no,semi_amueblado
barato,4046,3,1,2,si,no,si,no,no,1,no,semi_amueblado
barato,4632,4,1,2,si,no,no,no,si,0,no,semi_amueblado
barato,5985,3,1,1,si,no,si,no,no,0,no,semi_amueblado
barato,6060,2,1,1,si,no,si,no,no,1,no,semi_amueblado
barato,3600,3,1,1,si,no,si,no,si,0,si,amueblada
barato,3680,3,2,2,si,no,no,no,no,0,no,semi_amueblado
barato,4040,2,1,2,si,no,no,no,no,1,no,semi_amueblado
barato,5600,2,1,1,si,no,no,no,si,0,no,semi_amueblado
barato,5900,4,2,2,no,no,si,no,no,1,no,sin_amoblar
barato,4992,3,2,2,si,no,no,no,no,2,no,sin_amoblar
barato,4340,3,1,1,si,no,no,no,no,0,no,semi_amueblado
barato,3000,4,1,3,si,no,si,no,si,2,no,semi_amueblado
barato,4320,3,1,2,si,no,no,no,no,2,si,amueblada
barato,3630,3,2,2,si,no,no,si,no,2,no,semi_amueblado
barato,3460,3,2,1,si,no,si,no,si,1,no,amueblada
barato,5400,3,1,1,si,no,no,no,no,3,no,semi_amueblado
barato,4500,3,1,2,no,no,si,no,si,0,no,semi_amueblado
barato,3460,4,1,2,si,no,no,no,si,0,no,semi_amueblado
barato,4100,4,1,1,no,no,si,no,no,0,no,sin_amoblar
barato,6480,3,1,2,no,no,no,no,si,1,no,semi_amueblado
barato,4500,3,2,2,no,no,si,no,si,0,no,semi_amueblado
barato,3960,3,1,2,si,no,no,no,no,0,no,amueblada
barato,4050,2,1,2,si,si,si,no,no,0,si,sin_amoblar
barato,7260,3,2,1,si,si,si,no,no,3,no,amueblada
barato,5500,4,1,2,si,si,si,no,no,0,no,semi_amueblado
barato,3000,3,1,2,si,no,no,no,no,0,no,semi_amueblado
barato,3290,2,1,1,si,no,no,si,no,1,no,amueblada
barato,3816,2,1,1,si,no,si,no,si,2,no,amueblada
barato,8080,3,1,1,si,no,no,no,si,2,no,semi_amueblado
barato,2145,4,2,1,si,no,si,no,no,0,si,sin_amoblar
barato,3780,2,1,2,si,si,si,no,no,0,no,semi_amueblado
barato,3180,4,2,2,si,no,no,no,no,0,no,amueblada
barato,5300,5,2,2,si,no,no,no,no,0,no,semi_amueblado
barato,3150,2,2,1,no,no,si,no,no,0,no,semi_amueblado
barato,4820,3,1,2,si,no,no,no,no,0,no,semi_amueblado
barato,3420,2,1,2,si,no,no,si,no,1,no,semi_amueblado
barato,3600,2,1,1,si,no,no,no,no,0,no,semi_amueblado
barato,5830,2,1,1,si,no,no,no,no,2,no,sin_amoblar
barato,2856,3,1,3,si,no,no,no,no,0,si,amueblada
barato,8400,2,1,1,si,no,no,no,no,1,no,amueblada
barato,8250,3,1,1,si,no,no,no,no,2,no,amueblada
barato,2520,5,2,1,no,no,si,no,si,1,no,amueblada
barato,6930,4,1,2,no,no,no,no,no,1,no,amueblada
barato,3480,2,1,1,si,no,no,no,no,0,si,semi_amueblado
barato,3600,3,1,1,si,no,no,no,no,1,no,sin_amoblar
barato,4040,2,1,1,si,no,no,no,no,0,no,semi_amueblado
barato,6020,3,1,1,si,no,no,no,no,0,no,semi_amueblado
barato,4050,2,1,1,si,no,no,no,no,0,no,amueblada
barato,3584,2,1,1,si,no,no,si,no,0,no,semi_amueblado
barato,3120,3,1,2,no,no,si,si,no,0,no,semi_amueblado
barato,5450,2,1,1,si,no,no,no,no,0,no,amueblada
barato,3630,2,1,1,si,no,si,no,no,0,no,amueblada
barato,3630,2,1,1,si,no,no,no,si,0,no,sin_amoblar
barato,5640,2,1,1,no,no,no,no,no,0,no,semi_amueblado
barato,3600,2,1,1,si,no,no,no,no,0,no,amueblada
barato,4280,2,1,1,si,no,no,no,si,2,no,semi_amueblado
barato,3570,3,1,2,si,no,si,no,no,0,no,semi_amueblado
barato,3180,3,1,2,no,no,si,no,no,0,no,semi_amueblado
barato,3000,2,1,2,si,no,no,no,si,0,no,amueblada
barato,3520,2,2,1,si,no,si,no,no,0,no,semi_amueblado
barato,5960,3,1,2,si,si,si,no,no,0,no,sin_amoblar
barato,4130,3,2,2,si,no,no,no,no,2,no,semi_amueblado
barato,2850,3,2,2,no,no,si,no,no,0,si,sin_amoblar
barato,2275,3,1,3,si,no,no,si,si,0,si,semi_amueblado
barato,3520,3,1,1,si,no,no,no,no,2,si,sin_amoblar
barato,4500,2,1,1,si,no,no,no,no,0,no,semi_amueblado
barato,4000,2,1,1,si,no,no,no,no,0,si,semi_amueblado
barato,3150,3,1,2,si,no,si,no,no,0,no,amueblada
barato,4500,4,2,2,si,no,si,no,no,2,no,amueblada
barato,4500,2,1,1,no,no,no,no,no,0,no,amueblada
barato,3640,2,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,3850,3,1,1,si,no,no,no,no,2,no,sin_amoblar
barato,4240,3,1,2,si,no,no,no,si,0,no,semi_amueblado
barato,3650,3,1,2,si,no,no,no,no,0,no,sin_amoblar
barato,4600,4,1,2,si,no,no,no,no,0,no,semi_amueblado
barato,2135,3,2,2,no,no,no,no,no,0,no,sin_amoblar
barato,3036,3,1,2,si,no,si,no,no,0,no,semi_amueblado
barato,3990,3,1,2,si,no,no,no,no,0,no,semi_amueblado
barato,7424,3,1,1,no,no,no,no,no,0,no,sin_amoblar
barato,3480,3,1,1,no,no,no,no,si,0,no,sin_amoblar
barato,3600,6,1,2,si,no,no,no,no,1,no,sin_amoblar
barato,3640,2,1,1,si,no,no,no,no,1,no,semi_amueblado
barato,5900,2,1,1,si,no,no,no,no,1,no,amueblada
barato,3120,3,1,2,si,no,no,no,no,1,no,sin_amoblar
barato,7350,2,1,1,si,no,no,no,no,1,no,semi_amueblado
barato,3512,2,1,1,si,no,no,no,no,1,si,sin_amoblar
barato,9500,3,1,2,si,no,no,no,no,3,si,sin_amoblar
barato,5880,2,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,12944,3,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,4900,3,1,2,no,no,no,no,no,0,no,sin_amoblar
barato,3060,3,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,5320,2,1,1,si,no,no,no,no,1,si,sin_amoblar
barato,2145,3,1,3,si,no,no,no,no,0,si,amueblada
barato,4000,2,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,3185,2,1,1,si,no,no,no,no,2,no,sin_amoblar
barato,3850,3,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,2145,3,1,3,si,no,no,no,no,0,si,amueblada
barato,2610,3,1,2,si,no,si,no,no,0,si,sin_amoblar
barato,1950,3,2,2,si,no,si,no,no,0,si,sin_amoblar
barato,4040,2,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,4785,3,1,2,si,si,si,no,si,1,no,amueblada
barato,3450,3,1,1,si,no,si,no,no,2,no,sin_amoblar
barato,3640,2,1,1,si,no,no,no,no,0,no,amueblada
barato,3500,4,1,2,si,no,no,no,si,2,no,sin_amoblar
barato,4960,4,1,3,no,no,no,no,no,0,no,semi_amueblado
barato,4120,2,1,2,si,no,no,no,no,0,no,sin_amoblar
barato,4750,2,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,3720,2,1,1,no,no,no,no,si,0,no,sin_amoblar
barato,3750,3,1,1,si,no,no,no,no,0,no,sin_amoblar
barato,3100,3,1,2,no,no,si,no,no,0,no,semi_amueblado
barato,3185,2,1,1,si,no,si,no,no,2,no,amueblada
barato,2700,3,1,1,no,no,no,no,no,0,no,amueblada
barato,2145,3,1,2,si,no,si,no,no,0,si,amueblada
barato,4040,2,1,1,si,no,no,no,no,1,no,sin_amoblar
barato,4775,4,1,2,si,no,no,no,no,,no,sin_amoblar
barato,2500,2,1,1,no,no,no,no,si,0,no,sin_amoblar
